source,target,value
1750,2427,27.0
1751,2427,4.0
1752,3025,9.0
1753,2427,2.0
1754,2427,9.0
1755,2427,11.0
1756,2427,17.0
1758,2427,27.0
1759,2427,6.0
1760,2427,8.0
1761,2427,64.0
1762,2427,3.0
1763,2427,7.0
1764,2427,11.0
1765,2427,75.0
1767,2427,6.0
1768,2427,10.0
1770,2427,3.0
1804,1262,1.0
1813,2477,6.0
1816,2477,1.0
1818,2477,2.0
1820,2477,23.0
1821,2477,168.0
1827,1921,11.0
1842,3060,101.0
1846,1089,71.0
1857,3060,220.0
1863,3018,267.0
1865,3003,48.0
1874,1921,13.0
1877,1920,113.0
1878,1920,48.0
1878,1926,3.0
1879,1921,5.0
1880,1921,6.0
1881,1926,35.0
1886,1926,51.0
1887,1926,219.0
1888,1926,73.0
1890,1926,61.0
1892,1684,10.0
1905,1921,20.0
1907,1926,30.0
1908,1920,150.0
1909,1920,82.0
1910,1921,50.0
1911,1920,120.0
1913,1920,228.0
1914,1920,422.0
1915,1921,85.0
1917,1921,9.0
1917,1926,39.0
1918,1926,140.0
1919,1920,200.0
1922,1926,322.0
1924,1921,5.0
1925,1926,11.0
1928,1926,38.0
1929,1926,93.0
1930,1921,4.0
1931,1926,27.0
1932,1926,18.0
1935,1944,3.0
1936,2682,31.0
1937,1684,6.0
1942,1951,402.0
1943,1944,81.0
1945,2682,107.0
1946,2682,40.0
1947,2682,37.0
1948,1951,105.0
1949,2682,24.0
1950,2682,37.0
1952,1951,78.0
1952,2682,71.0
1953,1951,141.0
1955,1959,238.0
1956,1963,563.0
1957,1959,866.0
1958,1959,121.0
1961,1963,162.0
1962,1959,127.0
1962,1963,55.0
1964,1963,210.0
1965,568,283.0
1966,2296,141.0
1967,1598,4.0
1968,1598,7.0
1969,2517,114.0
1970,568,276.0
1971,1598,2.0
1972,2517,109.0
1973,1619,62.0
1974,1619,35.0
1975,1619,23.0
1976,568,213.0
1978,1025,701.0
1979,0,200.0
1979,379,2.0
1980,1598,3.0
1981,1598,3.0
1983,1598,4.0
1984,1598,1.0
1985,1598,1.0
1986,568,229.0
1989,1619,37.0
1990,2517,151.0
1991,1598,9.0
1992,1598,6.0
1995,1619,52.0
2003,1606,190.0
2004,1598,20.0
2006,1598,7.0
2007,1598,4.0
2008,1598,15.0
2009,1598,14.0
2010,1598,19.0
2011,1598,6.0
2012,1598,9.0
2013,1598,8.0
2014,1598,6.0
2015,1598,10.0
2016,1598,8.0
2017,1598,9.0
2018,1598,8.0
2019,1598,8.0
2021,1619,77.0
2022,1598,7.0
