,population,degree_centrality,population_normalized,degree_centrality_normalized,population_centrality
112,0,0.0012853470437017994,1.0,1.1025641025641026,0.07272727272727275
113,0,0.0009640102827763496,1.0,1.0769230769230769,0.054545454545454564
114,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
115,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
116,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
117,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
118,0,0.0009640102827763496,1.0,1.0769230769230769,0.054545454545454564
119,0,0.0012853470437017994,1.0,1.1025641025641026,0.07272727272727275
120,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
121,0,0.012532133676092544,1.0,2.0,0.7090909090909091
122,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
123,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
124,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
125,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
126,0,0.0012853470437017994,1.0,1.1025641025641026,0.07272727272727275
127,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
128,0,0.0019280205655526992,1.0,1.1538461538461537,0.10909090909090902
129,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
130,0,0.0019280205655526992,1.0,1.1538461538461537,0.10909090909090902
131,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
132,0,0.0012853470437017994,1.0,1.1025641025641026,0.07272727272727275
133,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
134,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
135,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
136,0,0.0012853470437017994,1.0,1.1025641025641026,0.07272727272727275
137,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
138,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
139,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
140,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
141,0,0.0035347043701799484,1.0,1.282051282051282,0.19999999999999996
142,0,0.0009640102827763496,1.0,1.0769230769230769,0.054545454545454564
143,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
144,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
145,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
146,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
147,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
148,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
149,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
150,0,0.0019280205655526992,1.0,1.1538461538461537,0.10909090909090902
151,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
152,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
153,0,0.0019280205655526992,1.0,1.1538461538461537,0.10909090909090902
154,0,0.0009640102827763496,1.0,1.0769230769230769,0.054545454545454564
155,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
156,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
157,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
158,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
159,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
160,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
161,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
162,0,0.0009640102827763496,1.0,1.0769230769230769,0.054545454545454564
163,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
164,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
165,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
166,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
167,0,0.0019280205655526992,1.0,1.1538461538461537,0.10909090909090902
168,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
169,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
170,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
171,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
172,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
173,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
174,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
175,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
176,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
177,0,0.0012853470437017994,1.0,1.1025641025641026,0.07272727272727275
178,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
179,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
180,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
181,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
182,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
183,0,0.0012853470437017994,1.0,1.1025641025641026,0.07272727272727275
184,0,0.0012853470437017994,1.0,1.1025641025641026,0.07272727272727275
185,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
186,0,0.0012853470437017994,1.0,1.1025641025641026,0.07272727272727275
187,0,0.0019280205655526992,1.0,1.1538461538461537,0.10909090909090902
188,0,0.0009640102827763496,1.0,1.0769230769230769,0.054545454545454564
189,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
190,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
191,0,0.0019280205655526992,1.0,1.1538461538461537,0.10909090909090902
192,0,0.00032133676092544985,1.0,1.0256410256410255,0.018181818181818077
193,0,0.0009640102827763496,1.0,1.0769230769230769,0.054545454545454564
194,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
195,0,0.0019280205655526992,1.0,1.1538461538461537,0.10909090909090902
196,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
197,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
198,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
199,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
200,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
201,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
202,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
203,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
204,0,0.0006426735218508997,1.0,1.0512820512820513,0.036363636363636376
205,0,0.0006426735218508997,1.0,1.0512820512820513,0.036363636363636376
206,0,0.002892030848329049,1.0,1.2307692307692308,0.1636363636363637
207,0,0.0009640102827763496,1.0,1.0769230769230769,0.054545454545454564
208,0,0.0038560411311053984,1.0,1.3076923076923077,0.21818181818181814
209,0,0.0006426735218508997,1.0,1.0512820512820513,0.036363636363636376
210,0,0.0006426735218508997,1.0,1.0512820512820513,0.036363636363636376
211,0,0.0009640102827763496,1.0,1.0769230769230769,0.054545454545454564
212,0,0.0006426735218508997,1.0,1.0512820512820513,0.036363636363636376
213,0,0.0006426735218508997,1.0,1.0512820512820513,0.036363636363636376
214,0,0.0006426735218508997,1.0,1.0512820512820513,0.036363636363636376
215,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
216,0,0.0009640102827763496,1.0,1.0769230769230769,0.054545454545454564
217,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
