,area_accessibility
849,40.45050400175379
850,62.287272400614405
851,32.40347713989771
852,35.98849053081215
853,32.957248225613746
854,33.66604180762193
855,34.9118146999078
856,33.7576653061036
857,35.73721966680461
858,31.897176979221776
859,32.89413357261319
860,32.584458731207725
861,41.42185659967129
862,42.06592941738446
863,42.44705424057861
864,42.47478431884051
865,38.23866370555935
866,35.37204943490288
867,37.26101213988338
868,33.7383973045068
869,40.286975618854406
870,38.993822987745034
871,39.46718743071636
872,33.09458622214663
873,33.925066764659256
874,31.63281109254807
875,30.42554116986131
876,30.487125048057123
877,29.42314653171588
878,30.51024599067424
879,30.157309328552127
880,30.064827349223176
881,30.204926531313077
882,30.01832448391137
883,29.52454671368087
884,30.21912416479486
885,30.181181769081732
886,30.079473196372245
887,30.135751732396937
888,29.90619047313957
889,29.555280299406164
890,31.715590106068372
891,31.736208392116385
892,30.58366168786592
893,30.67726220491948
894,30.722563168389048
895,30.025772099313357
896,30.316820529475315
897,29.858396176464723
898,30.0160281040068
899,30.479729651809773
900,31.046902735582517
901,31.79777126088344
902,30.714180792079922
903,30.718504013389087
904,29.980319091075014
905,30.561985700227257
906,30.80122046119306
907,29.763340269701104
908,30.53428785005076
909,30.430369773141418
910,30.054326180676814
911,30.905198955383216
912,30.595072289568595
913,30.414060325073926
914,30.325465231773823
915,30.300892345888848
916,30.086818609318378
917,30.348350915004872
918,30.501279181607384
919,32.04260961963068
920,31.342968042362322
921,32.80829995543612
922,30.78414016693027
923,31.324236605764202
924,31.82280068100465
925,30.754959543651495
926,32.298413665701744
927,31.917578186766487
928,31.825764858181127
929,33.08528702144342
930,34.64399086888562
931,30.249977403805275
932,31.332095259061813
933,31.67435591241011
934,30.331238833358476
935,30.55664442732917
936,29.93790440302762
937,30.066112638247308
938,30.92390052139423
939,29.651036910355312
940,33.93671853212928
941,34.33118509444705
942,35.0351520024563
943,30.585242135732592
944,30.981765695983196
945,31.780468441538975
946,33.45504218288011
947,30.31265733071699
948,30.675899628990486
949,29.48984357256055
950,30.14772031522949
951,30.41718985909556
952,30.474534379800847
953,30.24101450500073
954,30.312790052765617
955,30.237287421639422
956,30.326645444573096
957,29.700283250481395
958,30.108662640169314
959,29.735762056743532
960,29.87022595686104
961,29.417850868896316
962,29.327720037168458
963,30.29379554783401
964,30.451392317553836
965,29.84746364570715
966,31.073570600770385
967,30.30723929891278
968,30.44415762837777
969,30.59657443378727
970,30.146270146257162
971,29.923053979304726
972,30.118891979677475
973,29.96920427618361
974,30.70735945025162
975,30.274010504221668
976,30.308726993496833
977,30.521843718153786
978,31.019001653498037
979,31.342971488836973
980,31.783686061033777
981,32.49401877373203
982,32.695210703805046
983,31.91986155903293
984,33.60313929866269
985,33.67810259966001
986,30.916382771835252
987,32.28423705897349
988,31.7123306479908
989,31.345099784064622
990,31.612051205265534
991,32.52605225247292
992,33.40290447580099
993,33.90318192328446
994,31.48111067547696
995,31.642860638708427
996,31.849237078412735
997,32.76234842239703
998,31.293804894919603
999,30.8588512200185
1000,32.35406427679037
1001,31.37238426140485
1002,31.502117707957723
1003,31.437310014209388
1004,31.393009525711864
1005,33.991662328153836
1006,32.166501876632886
1007,32.33392809705768
1008,32.69785134698326
1009,32.57042583505436
