,land_use_accessibility
1404,14.7578125
1405,14.2578125
1406,15.1875
1407,14.703125
1408,13.6875
1409,15.8125
1410,14.546875
1411,14.9921875
1412,14.6796875
1413,14.921875
1414,15.2265625
1415,13.8125
1416,15.625
1417,15.9140625
1418,15.75
1419,15.8046875
1420,15.5390625
1421,15.7265625
1422,14.21875
1423,14.625
1424,15.5234375
1425,16.46875
1426,15.875
1427,15.6015625
1428,15.875
1429,15.375
1430,15.5625
1431,15.84375
1432,15.765625
1433,14.7109375
1434,15.6875
1435,16.0
1436,18.890625
1437,17.15625
1438,16.375
1439,17.0
1440,16.59375
1441,16.234375
1442,15.9140625
1443,16.46875
1444,16.1875
1445,14.921875
1446,15.84375
1447,16.6875
1448,15.515625
1449,16.25
1450,15.5859375
1451,14.984375
1452,15.28125
1453,15.109375
1454,14.5859375
1455,15.3828125
1456,16.84375
1457,14.4609375
1458,15.140625
1459,15.0703125
1460,14.90625
1461,15.265625
1462,16.8125
1463,17.078125
1464,16.59375
1465,19.203125
1466,13.5703125
1467,14.015625
1468,13.8984375
1469,13.59375
1470,13.5625
1471,14.40625
1472,13.03125
1473,14.078125
1474,14.03125
1475,14.8515625
1476,14.953125
1477,14.65625
1478,13.5078125
1479,14.8359375
1480,14.03125
1481,13.328125
1482,14.6484375
1483,13.546875
1484,13.7421875
1485,14.796875
1486,13.859375
1487,13.8046875
1488,13.7265625
1489,14.578125
1490,14.6328125
1491,14.5078125
1492,14.2578125
1493,14.3828125
1494,14.3125
1495,14.109375
1496,13.96875
1497,14.046875
1498,14.328125
1499,14.140625
1500,14.484375
1501,13.59375
1502,14.515625
1503,14.734375
1504,14.328125
1505,14.046875
1506,13.234375
1507,13.59375
1508,13.3203125
1509,13.8828125
1510,13.640625
1511,14.578125
1512,14.6328125
1513,14.0703125
1514,14.0390625
1515,14.6796875
1516,14.828125
1517,14.375
1518,14.1484375
1519,14.03125
1520,13.859375
1521,13.9609375
1522,13.8203125
1523,13.7265625
1524,13.9375
1525,14.453125
1526,14.1171875
1527,14.125
1528,14.2578125
1529,14.6015625
1530,14.171875
1531,14.2265625
1532,14.5078125
1533,14.453125
1534,14.515625
1535,14.28125
1536,14.265625
1537,14.421875
1538,14.21875
1539,14.625
1540,14.609375
1541,14.46875
1542,14.84375
1543,15.03125
1544,15.3203125
1545,14.8125
1546,16.15625
1547,14.140625
1548,14.703125
1549,14.5078125
1550,13.984375
1551,14.546875
1552,14.375
1553,14.375
1554,13.9375
1555,13.59375
1556,14.0859375
1557,13.4375
1558,15.1328125
1559,13.09375
1560,12.0703125
1561,27.03125
1562,21.421875
1563,15.9453125
1564,14.6171875
1565,19.0
1566,25.71875
1567,22.859375
1568,18.6875
1569,31.8125
1570,18.546875
1571,16.765625
1572,15.9140625
1573,27.28125
1574,21.421875
1575,18.3125
1576,18.3125
1577,15.8671875
1578,15.078125
1579,14.234375
1580,14.703125
1581,15.1015625
1582,14.59375
1583,15.25
1584,16.0
1585,16.0625
1586,15.7265625
1587,16.84375
1588,14.640625
1589,13.65625
1590,13.15625
1591,13.71875
1592,13.765625
1593,13.5390625
1594,14.2109375
1595,14.2421875
1596,12.7890625
1597,15.1484375
1598,15.0
1599,14.9375
1600,15.2109375
1601,13.90625
1602,13.453125
1603,14.90625
1604,14.421875
1605,13.0
1606,14.09375
1607,14.921875
1608,13.09375
1609,15.640625
1610,13.75
1611,12.6328125
1612,17.421875
1613,17.8125
1614,14.515625
1615,13.53125
1616,12.0625
1617,12.921875
1618,12.0078125
1619,14.265625
1620,12.9140625
1621,12.515625
1622,12.1875
1623,12.484375
1624,12.640625
1625,10.9140625
1626,11.2890625
1627,17.71875
1628,14.640625
1629,14.15625
1630,14.828125
1631,15.2421875
1632,14.84375
1633,14.9453125
1634,31.484375
1635,16.40625
1636,21.5625
1637,18.765625
1638,20.578125
1639,25.28125
1640,19.734375
1641,22.609375
1642,20.265625
1643,24.328125
1644,23.34375
1645,19.140625
1646,28.53125
1647,26.796875
1648,22.5625
1649,27.921875
1650,21.84375
1651,25.65625
1652,20.90625
1653,19.15625
1654,21.65625
1655,15.609375
1656,17.046875
1657,16.75
1658,17.734375
1659,18.375
1660,15.90625
1661,15.28125
1662,19.140625
1663,20.0
1664,16.96875
1665,16.625
1666,15.9765625
1667,17.890625
1668,17.609375
1669,16.703125
1670,17.234375
1671,18.1875
1672,15.265625
1673,17.171875
1674,14.140625
1675,15.65625
1676,25.375
1677,17.6875
1678,23.28125
1679,21.65625
1680,24.109375
1681,20.0625
1682,19.59375
1683,18.046875
1684,19.390625
1685,22.9375
1686,20.78125
1687,22.765625
1688,19.578125
1689,18.890625
1690,17.390625
1691,23.90625
1692,20.453125
1693,18.375
1694,22.5625
1695,19.234375
1696,25.46875
1697,14.84375
1698,17.859375
1699,19.3125
1700,17.828125
1701,19.0625
1702,17.15625
1703,14.859375
1704,14.5
1705,14.828125
1706,15.078125
1707,24.28125
1708,21.859375
1709,18.203125
1710,24.109375
1711,18.4375
1712,20.34375
1713,14.859375
1714,23.6875
1715,22.09375
1716,26.265625
1717,26.25
1718,26.0625
1719,25.953125
1720,26.09375
1721,26.046875
1722,26.703125
1723,25.5625
1724,26.5
1725,24.984375
1726,31.703125
1727,15.171875
1728,18.03125
1729,20.734375
1730,18.296875
1731,19.8125
1732,16.828125
1733,16.359375
1734,13.3359375
1735,13.9296875
1736,14.8203125
1737,16.75
1738,14.71875
1739,16.140625
1740,15.9296875
1741,17.5625
1742,18.96875
1743,20.28125
1744,18.640625
1745,20.421875
1746,18.4375
1747,17.796875
1748,13.5078125
1749,14.1328125
1750,15.1640625
1751,17.125
1752,14.2109375
1753,15.578125
1754,15.703125
1755,16.40625
1756,17.0
1757,17.546875
1758,16.84375
1759,15.2109375
1760,16.375
1761,17.0625
1762,18.109375
1763,18.1875
1764,18.421875
1765,16.75
1766,19.34375
1767,18.796875
1768,18.078125
1769,22.5
1770,19.140625
1771,20.796875
1772,21.953125
1773,28.78125
1774,19.46875
1775,19.140625
1776,33.5625
1777,34.5625
1778,30.5
1779,32.5625
1780,21.53125
1781,20.53125
1782,22.03125
1783,24.484375
1784,22.484375
1785,23.078125
1786,23.96875
1787,25.28125
1788,24.65625
1789,22.34375
1790,22.734375
1791,21.859375
1792,25.078125
1793,27.109375
1794,26.0
1795,24.25
1796,23.53125
1797,20.171875
1798,21.484375
1799,19.703125
1800,19.5625
1801,22.859375
1802,21.40625
1803,23.234375
1804,21.25
1805,23.375
1806,24.515625
1807,23.4375
1808,20.875
1809,18.21875
1810,18.125
1811,19.8125
1812,17.0
1813,17.78125
1814,20.6875
1815,20.46875
1816,19.65625
1817,20.390625
1818,21.53125
1819,21.125
1820,18.3125
1821,16.828125
1822,16.234375
1823,15.5625
1824,14.4375
1825,16.765625
1826,16.984375
1827,16.859375
1828,17.71875
1829,17.25
1830,20.625
1831,19.25
1832,18.96875
1833,17.515625
1834,17.4375
1835,15.34375
1836,15.21875
1837,13.828125
1838,16.5
1839,15.8046875
1840,15.7421875
1841,17.5625
1842,17.75
1843,14.953125
1844,18.9375
1845,13.25
1846,12.6640625
1847,15.578125
1848,14.40625
1849,16.09375
1850,13.2109375
1851,16.078125
1852,16.546875
1853,15.84375
1854,19.171875
1855,17.640625
1856,17.625
1857,15.546875
1858,13.234375
1859,19.375
1860,20.359375
1861,23.75
