,connectivity
625,0.054930309830592224
626,0.05431400657998742
627,0.05321115833995655
628,0.053376173707127814
629,0.053635787582279056
630,0.0538975126083282
631,0.05137374761988005
632,0.05237562826218823
633,0.04903172976361452
634,0.050402503436110455
635,0.0500658472155523
636,0.049477212169426764
637,0.050508395057327814
638,0.05144935351225191
639,0.05162643231425826
640,0.0528093600916283
641,0.05177707675715008
642,0.05191352709546129
643,0.05201640354937981
644,0.05294136773412828
645,0.05289369324870149
646,0.05250240311893243
647,0.05216925794173984
648,0.055711890568843854
649,0.05471030164400758
650,0.05530252958695037
651,0.054220758100697375
652,0.05325108731499191
653,0.05311431458982208
654,0.051883524906641165
655,0.054029421615354886
656,0.05254956942044206
657,0.05404405242568309
658,0.051593871850012796
659,0.04828908758614153
660,0.05224057720034715
661,0.04862426715301321
662,0.053191793727587255
663,0.05404006952084749
664,0.04883593535252146
665,0.05112560326033377
666,0.051906979138718466
667,0.05216723349127475
668,0.052395068055186074
669,0.050995807607079544
670,0.05376740955859361
671,0.053940537504089614
672,0.05559412370553548
673,0.05258899660144733
674,0.05274339854932717
675,0.0530876119556079
676,0.054892524719215116
677,0.051999461248257633
678,0.05369236937467901
679,0.05410207436620544
680,0.05194834533846811
681,0.05397445569278309
682,0.05448789198949377
683,0.05358307590451999
684,0.053699496556977415
685,0.052977482488383944
686,0.05177031268483649
687,0.05127664456266368
688,0.051312039638112164
689,0.05642640786195092
690,0.05251805443350975
691,0.05310003757498539
692,0.055603262542810346
693,0.05491314767942389
694,0.05244388810660827
695,0.054997173502273525
696,0.055055705930484776
697,0.053421134976992114
698,0.053546141990297336
699,0.054232822293913664
700,0.05428308859310503
701,0.054165833274100475
702,0.056063971064639936
703,0.0545005002663756
704,0.05434950611101257
705,0.05531195793198805
706,0.05505220261102308
707,0.054867799901564304
708,0.05211056080516287
709,0.05269210243587205
710,0.05494498930156854
711,0.05456736601156921
712,0.0534492585899247
713,0.05327456028175297
714,0.05397527807736133
715,0.05136819572602518
716,0.053770034360074256
717,0.05429334757164002
718,0.055364672306607556
719,0.05364905856691622
720,0.05569223699580934
721,0.0539034584748807
722,0.05366381364074678
723,0.055901907233763606
724,0.05437198402549184
725,0.05437189380613938
726,0.053325532825093336
727,0.05404872682078174
728,0.05410532937824609
729,0.05430801480551371
730,0.055249310447954336
731,0.055178179714066716
732,0.05372940624521543
733,0.05169031086670949
734,0.053925713084366306
735,0.054695713053650286
736,0.05444362800786382
737,0.05354721388276232
738,0.05477949208646519
739,0.05710081121384095
740,0.05367263102031724
741,0.05414905035078399
742,0.052596451188162266
743,0.05204460154692048
744,0.05396530557691653
